x,y,depth
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
2.460000000000000000e+02,1.120000000000000000e+02,1.316000000000000000e+03
2.340000000000000000e+02,1.130000000000000000e+02,1.337000000000000000e+03
2.320000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
2.260000000000000000e+02,1.200000000000000000e+02,1.347000000000000000e+03
2.240000000000000000e+02,1.240000000000000000e+02,1.527000000000000000e+03
2.610000000000000000e+02,1.260000000000000000e+02,1.292000000000000000e+03
2.620000000000000000e+02,1.300000000000000000e+02,1.474000000000000000e+03
2.210000000000000000e+02,1.310000000000000000e+02,1.520000000000000000e+03
2.560000000000000000e+02,1.360000000000000000e+02,0.000000000000000000e+00
2.680000000000000000e+02,1.510000000000000000e+02,1.306000000000000000e+03
2.670000000000000000e+02,1.620000000000000000e+02,1.456000000000000000e+03
2.540000000000000000e+02,1.160000000000000000e+02,1.301000000000000000e+03
2.560000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.710000000000000000e+02,1.690000000000000000e+02,1.292000000000000000e+03
2.540000000000000000e+02,1.350000000000000000e+02,1.273000000000000000e+03
2.550000000000000000e+02,1.340000000000000000e+02,1.273000000000000000e+03
